Band Number,Disposition,Species,Age,Sex,Month,Day,Year,Bird Status,Bander ID,Location,How Captured,Wing Chord,Bird Weight,Tarsus Length,Culmen Length,Bill Width,Bill Height,Transmitter Affixed,Cloacal Swab,Blood Sample Taken,AI Sample #,Mercury Sample ID,Capture Time,Transmitter ID,Aux Marker Type,Season
219785390,1,GWFG,HY,F,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785391,1,GWFG,AHY,F,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785392,1,GWFG,AHY,F,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785393,1,GWFG,AHY,F,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785394,1,GWFG,AHY,F,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785395,1,GWFG,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785396,1,GWFG,AHY,F,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785397,1,GWFG,AHY,F,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785398,1,GWFG,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785399,1,GWFG,AHY,F,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785400,1,GWFG,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785401,1,GWFG,AHY,M,9,28,2019,300,AM,SACNWR,Rocket Net,418,2074,73.04,51.11,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785402,1,GWFG,AHY,M,9,28,2019,300,AM,SACNWR,Rocket Net,410,2052,70.45,45.55,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785403,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,404,1828,65.14,46.07,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785404,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,403,1750,65.9,47.92,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785405,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,405,1846,71.45,51.07,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785406,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,395,1766,68.42,42.74,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785407,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,410,1704,68,46.05,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785408,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,411,1802,69.97,49.39,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785409,1,GWFG,AHY,M,9,28,2019,300,AM,SACNWR,Rocket Net,442,2054,74.03,52.07,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785410,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,390,1804,64.69,45.11,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785411,1,GWFG,AHY,M,9,28,2019,300,AM,SACNWR,Rocket Net,425,1946,71.23,50.19,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785412,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,393,1660,64.16,45.81,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785413,1,GWFG,AHY,M,9,28,2019,300,AM,SACNWR,Rocket Net,433,2114,73.27,49.13,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785414,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,412,2070,72.76,46.6,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785415,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,404,1848,67.76,43.6,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785416,1,GWFG,AHY,M,9,28,2019,300,AM,SACNWR,Rocket Net,431,2236,45.83,52.83,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785417,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,400,1944,71.96,49.86,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785418,1,GWFG,AHY,M,9,28,2019,300,AM,SACNWR,Rocket Net,404,2018,71.11,46.88,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785419,1,GWFG,AHY,M,9,28,2019,300,AM,SACNWR,Rocket Net,439,2520,78.22,55.58,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785420,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,426,1788,67.36,46.36,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785421,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,396,NA,68.36,52.21,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785422,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,403,1868,67.22,46.03,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785423,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,406,1982,73.98,49.11,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785424,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,389,1920,69.66,49.73,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785425,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,423,1930,69.29,47.55,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785426,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,402,2056,67.15,45.65,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785427,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,406,1992,19.93,48.32,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785428,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,412,1876,68.09,46.51,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785429,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,404,1892,66.33,49.9,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785430,1,GWFG,AHY,M,9,28,2019,300,AM,SACNWR,Rocket Net,420,2332,74.26,53.71,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785431,1,GWFG,AHY,M,9,28,2019,300,AM,SACNWR,Rocket Net,425,2264,82.69,52.5,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785432,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,406,1988,73.53,48.25,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785433,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,395,2048,67.09,48.65,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785434,1,GWFG,AHY,M,9,28,2019,300,AM,SACNWR,Rocket Net,425,2130,77.09,39.17,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785435,1,GWFG,AHY,M,9,28,2019,300,AM,SACNWR,Rocket Net,435,2328,75.56,54.29,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785436,1,GWFG,AHY,M,9,28,2019,300,AM,SACNWR,Rocket Net,416,2146,75.1,49.67,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785437,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,395,1980,70.12,50.83,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785438,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,404,1866,65.25,43.9,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785439,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,397,1876,70.46,46.07,NA,NA,N,N,N,NA,NA,14:00,,,Pre
